date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2009-01-01,-3,-9,0.0,8.7,2,2,31,11:09 AM,10:52 PM,08:22 AM,05:43 PM,-15,-13,-7,-13,27,21,53,0.0,1024,-3,10,302,19
2009-01-02,-0,-7,0.0,5.2,2,2,38,11:31 AM,11:56 PM,08:22 AM,05:44 PM,-8,-7,-3,-7,21,53,70,0.0,1014,-0,10,212,12
2009-01-03,3,-4,0.0,8.7,2,2,45,11:53 AM,No moonset,08:22 AM,05:45 PM,-6,-6,-1,-6,30,2,73,0.0,1016,3,10,294,18
2009-01-04,5,-6,0.0,8.7,2,2,52,12:17 PM,01:02 AM,08:22 AM,05:46 PM,-9,-5,-1,-5,19,21,54,0.0,1019,5,10,277,12
2009-01-05,6,-1,0.0,8.7,2,2,60,12:45 PM,02:11 AM,08:22 AM,05:47 PM,0,-0,2,-0,17,45,86,0.0,1015,6,9,295,10
2009-01-06,1,-2,0.1,5.2,2,2,67,01:20 PM,03:24 AM,08:22 AM,05:48 PM,-5,-3,-0,-3,14,58,69,0.3,1016,1,9,94,9
2009-01-07,3,-0,0.0,3.5,1,1,74,02:02 PM,04:39 AM,08:22 AM,05:49 PM,1,-2,2,-2,28,90,96,1.9,995,3,8,144,17
2009-01-08,1,-2,0.0,3.5,2,2,82,02:57 PM,05:55 AM,08:21 AM,05:50 PM,-3,-6,-0,-6,41,64,83,0.0,999,1,10,257,25
2009-01-09,0,-4,0.1,3.5,1,1,89,04:05 PM,07:04 AM,08:21 AM,05:51 PM,-7,-7,-2,-7,25,48,68,0.1,1017,0,10,296,17
2009-01-10,-2,-5,0.4,3.5,1,1,96,05:22 PM,08:03 AM,08:21 AM,05:52 PM,-5,-7,-3,-7,15,70,84,0.5,1023,-2,9,166,10
2009-01-11,-1,-6,0.0,3.5,1,1,100,06:43 PM,08:50 AM,08:21 AM,05:53 PM,-4,-7,-3,-7,22,63,91,0.0,1013,-1,8,288,14
2009-01-12,0,-7,0.0,8.7,2,2,89,08:02 PM,09:28 AM,08:21 AM,05:54 PM,-7,-8,-4,-8,17,23,80,0.0,1022,0,10,290,11
2009-01-13,3,-7,0.0,8.7,2,2,82,09:18 PM,09:58 AM,08:20 AM,05:55 PM,-3,-5,-2,-5,17,37,87,0.0,1017,3,9,190,9
2009-01-14,-1,-10,0.0,8.7,2,2,75,10:29 PM,10:25 AM,08:20 AM,05:56 PM,-12,-12,-6,-12,23,21,65,0.0,1019,-1,10,286,16
2009-01-15,-6,-10,0.0,3.5,1,1,68,11:38 PM,10:49 AM,08:19 AM,05:57 PM,-13,-13,-8,-13,19,69,68,0.1,1024,-6,10,181,14
2009-01-16,-9,-14,0.0,8.7,2,2,60,No moonrise,11:13 AM,08:19 AM,05:58 PM,-17,-18,-11,-18,23,24,63,0.0,1034,-9,10,281,17
2009-01-17,-9,-16,0.0,7.0,2,2,53,12:43 AM,11:37 AM,08:19 AM,05:59 PM,-16,-16,-11,-16,11,33,70,0.0,1033,-9,10,224,8
2009-01-18,-1,-8,0.0,8.3,2,2,46,01:49 AM,12:04 PM,08:18 AM,06:00 PM,-7,-8,-4,-8,15,69,82,0.0,1015,-1,9,136,9
2009-01-19,-1,-8,0.8,6.6,1,1,38,02:53 AM,12:34 PM,08:18 AM,06:01 PM,-6,-8,-5,-8,12,46,91,0.9,1005,-1,5,273,7
2009-01-20,-3,-9,0.0,9.9,2,2,31,03:56 AM,01:09 PM,08:17 AM,06:02 PM,-8,-12,-6,-12,25,12,86,0.0,1007,-3,9,332,16
2009-01-21,-5,-11,0.0,9.9,2,2,24,04:55 AM,01:51 PM,08:16 AM,06:04 PM,-10,-14,-8,-14,26,12,87,0.0,1014,-5,10,294,15
2009-01-22,1,-9,0.0,9.9,2,2,17,05:50 AM,02:40 PM,08:16 AM,06:05 PM,-6,-9,-4,-9,26,9,88,0.0,1017,1,10,245,15
2009-01-23,6,-5,0.0,9.9,2,2,9,06:38 AM,03:35 PM,08:15 AM,06:06 PM,-1,-3,1,-3,22,26,88,0.0,1014,6,9,211,11
2009-01-24,3,-8,0.0,9.9,2,2,2,07:20 AM,04:34 PM,08:14 AM,06:07 PM,-5,-7,-1,-7,31,36,75,0.0,1018,3,9,312,20
2009-01-25,-3,-10,0.0,9.9,2,2,0,07:55 AM,05:37 PM,08:14 AM,06:08 PM,-13,-10,-6,-10,13,31,57,0.0,1027,-3,10,251,10
2009-01-26,-3,-9,0.0,10.0,2,2,0,08:25 AM,06:40 PM,08:13 AM,06:10 PM,-11,-10,-6,-10,13,40,66,0.0,1030,-3,10,299,8
2009-01-27,-3,-6,0.0,10.0,2,2,5,08:51 AM,07:43 PM,08:12 AM,06:11 PM,-9,-6,-4,-6,9,47,70,0.1,1031,-3,10,276,6
2009-01-28,2,-4,0.4,5.0,1,1,12,09:15 AM,08:46 PM,08:11 AM,06:12 PM,-2,-6,-1,-6,31,91,94,0.5,1013,2,8,143,18
2009-01-29,-0,-5,0.0,10.0,2,2,20,09:37 AM,09:49 PM,08:10 AM,06:13 PM,-6,-8,-3,-8,25,12,78,0.0,1014,-0,10,275,16
2009-01-30,1,-6,0.0,6.7,1,1,27,09:58 AM,10:54 PM,08:10 AM,06:14 PM,-4,-7,-2,-7,21,43,85,0.0,1014,1,9,252,13
2009-01-31,-3,-8,0.0,10.1,2,2,31,10:21 AM,No moonset,08:09 AM,06:16 PM,-11,-12,-6,-12,28,21,70,0.0,1017,-3,10,270,18
2009-02-01,6,-6,0.0,10.1,2,2,43,10:47 AM,12:01 AM,08:08 AM,06:17 PM,-3,-4,-0,-4,26,16,84,0.0,1014,6,10,226,14
2009-02-02,10,-2,0.0,10.1,2,2,50,11:18 AM,01:10 AM,08:07 AM,06:18 PM,1,1,3,1,18,20,85,0.0,1014,10,9,245,9
2009-02-03,0,-3,0.0,5.1,1,1,58,11:56 AM,02:22 AM,08:06 AM,06:19 PM,-2,-5,-1,-5,23,97,93,0.0,1010,0,10,140,15
2009-02-04,-2,-10,0.0,10.2,2,2,66,12:44 PM,03:36 AM,08:05 AM,06:20 PM,-8,-11,-5,-11,25,36,79,0.0,1017,-2,10,337,16
2009-02-05,-7,-13,0.0,6.7,1,1,73,01:44 PM,04:45 AM,08:04 AM,06:22 PM,-12,-17,-10,-17,28,35,85,0.0,1028,-7,10,313,18
2009-02-06,-2,-11,0.0,10.2,2,2,81,02:54 PM,05:47 AM,08:03 AM,06:23 PM,-9,-10,-6,-10,16,21,83,0.0,1030,-2,10,234,10
2009-02-07,7,-8,0.0,10.0,2,2,88,04:12 PM,06:38 AM,08:02 AM,06:24 PM,-1,-2,1,-2,18,33,86,0.1,1024,7,9,204,10
2009-02-08,10,-0,0.0,10.3,3,3,96,05:32 PM,07:20 AM,08:00 AM,06:25 PM,5,3,6,3,35,23,90,0.0,1018,10,10,282,19
2009-02-09,6,-2,0.0,10.7,2,2,100,06:49 PM,07:54 AM,07:59 AM,06:27 PM,-2,-0,2,-0,15,10,77,0.0,1028,6,10,265,10
2009-02-10,7,-1,0.0,6.9,1,1,89,08:04 PM,08:23 AM,07:58 AM,06:28 PM,2,2,3,2,11,56,88,0.0,1023,7,7,182,6
2009-02-11,16,4,0.0,10.7,2,2,82,09:15 PM,08:49 AM,07:57 AM,06:29 PM,9,9,10,9,16,46,91,0.0,1011,16,6,216,9
2009-02-12,13,5,0.0,5.4,2,2,74,10:24 PM,09:13 AM,07:56 AM,06:30 PM,5,4,9,4,59,68,76,0.0,999,13,10,259,35
2009-02-13,6,-2,0.0,10.8,2,2,67,11:32 PM,09:38 AM,07:54 AM,06:31 PM,-3,-2,3,-2,37,24,66,0.0,1012,6,10,307,23
2009-02-14,4,-2,0.2,10.1,2,2,59,No moonrise,10:04 AM,07:53 AM,06:33 PM,-8,-3,1,-3,18,41,53,0.2,1015,4,10,303,12
2009-02-15,5,-4,0.0,10.8,2,2,51,12:38 AM,10:33 AM,07:52 AM,06:34 PM,-8,-4,0,-4,25,6,56,0.0,1018,5,10,325,16
2009-02-16,4,-4,0.0,10.8,2,2,44,01:44 AM,11:07 AM,07:51 AM,06:35 PM,-8,-6,-1,-6,25,26,58,0.0,1022,4,10,299,16
2009-02-17,4,-5,0.0,10.9,2,2,36,02:45 AM,11:47 AM,07:49 AM,06:36 PM,-9,-4,-1,-4,15,15,55,0.0,1024,4,10,299,10
