date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2009-01-01,-3,-9,0.0,8.7,2,2,31,11:09 AM,10:53 PM,08:21 AM,05:44 PM,-15,-12,-6,-12,26,18,48,0.0,1024,-3,10,300,18
2009-01-02,0,-7,0.0,5.2,2,2,38,11:31 AM,11:56 PM,08:22 AM,05:44 PM,-8,-6,-2,-6,21,46,67,0.0,1014,0,10,211,12
2009-01-03,3,-3,0.0,8.7,2,2,45,11:53 AM,No moonset,08:22 AM,05:45 PM,-6,-5,-1,-5,27,2,70,0.0,1017,3,10,291,17
2009-01-04,5,-5,0.0,8.7,2,2,52,12:17 PM,01:02 AM,08:22 AM,05:46 PM,-9,-4,-0,-4,18,22,53,0.0,1020,5,10,274,11
2009-01-05,7,0,0.0,8.7,2,2,60,12:45 PM,02:11 AM,08:22 AM,05:47 PM,1,1,3,1,16,44,86,0.0,1015,7,9,288,10
2009-01-06,1,-1,0.1,5.2,1,1,67,01:20 PM,03:24 AM,08:22 AM,05:48 PM,-5,-3,0,-3,15,61,70,0.1,1016,1,10,92,10
2009-01-07,4,0,0.0,3.5,1,1,74,02:03 PM,04:39 AM,08:21 AM,05:49 PM,2,-1,3,-1,27,89,96,2.6,995,4,8,143,16
2009-01-08,2,-2,0.0,5.2,2,2,82,02:58 PM,05:54 AM,08:21 AM,05:50 PM,-2,-5,0,-5,40,47,82,0.0,1000,2,10,257,24
2009-01-09,1,-3,0.1,3.5,1,1,89,04:06 PM,07:04 AM,08:21 AM,05:51 PM,-7,-6,-1,-6,24,50,65,0.1,1017,1,10,291,17
2009-01-10,-1,-4,0.4,5.2,1,1,96,05:23 PM,08:02 AM,08:21 AM,05:52 PM,-5,-6,-2,-6,15,66,83,0.4,1023,-1,9,125,10
2009-01-11,0,-5,0.0,3.5,1,1,100,06:43 PM,08:50 AM,08:21 AM,05:53 PM,-3,-6,-2,-6,21,65,91,0.0,1013,0,8,286,14
2009-01-12,1,-6,0.0,8.7,2,2,89,08:02 PM,09:28 AM,08:20 AM,05:54 PM,-7,-8,-4,-8,16,26,76,0.0,1022,1,10,290,11
2009-01-13,3,-6,0.0,8.7,2,2,82,09:18 PM,09:58 AM,08:20 AM,05:55 PM,-3,-4,-1,-4,17,36,85,0.0,1017,3,10,190,9
2009-01-14,-0,-9,0.0,8.7,2,2,75,10:29 PM,10:25 AM,08:20 AM,05:56 PM,-12,-10,-5,-10,22,20,59,0.0,1019,-0,10,287,15
2009-01-15,-5,-9,0.0,3.5,1,1,68,11:38 PM,10:49 AM,08:19 AM,05:57 PM,-13,-12,-7,-12,20,70,63,0.0,1024,-5,10,224,14
2009-01-16,-8,-13,0.0,8.7,2,2,60,No moonrise,11:13 AM,08:19 AM,05:58 PM,-17,-17,-10,-17,23,14,57,0.0,1034,-8,10,282,17
2009-01-17,-8,-16,0.0,8.3,2,2,53,12:43 AM,11:38 AM,08:18 AM,06:00 PM,-16,-15,-10,-15,11,32,61,0.0,1033,-8,10,228,9
2009-01-18,0,-7,0.0,6.6,2,2,46,01:49 AM,12:04 PM,08:18 AM,06:01 PM,-7,-6,-3,-6,13,68,77,0.0,1015,0,10,141,8
2009-01-19,-0,-7,0.7,6.6,2,2,38,02:53 AM,12:34 PM,08:17 AM,06:02 PM,-6,-7,-4,-7,12,45,89,0.8,1005,-0,7,274,7
2009-01-20,-3,-8,0.0,9.9,2,2,31,03:55 AM,01:10 PM,08:17 AM,06:03 PM,-8,-11,-6,-11,24,11,85,0.0,1007,-3,10,331,15
2009-01-21,-5,-10,0.0,9.9,2,2,24,04:55 AM,01:52 PM,08:16 AM,06:04 PM,-10,-13,-7,-13,25,12,81,0.0,1014,-5,10,294,16
2009-01-22,2,-8,0.0,9.9,2,2,17,05:50 AM,02:40 PM,08:16 AM,06:05 PM,-6,-8,-3,-8,25,8,82,0.0,1017,2,10,244,15
2009-01-23,6,-4,0.0,9.9,2,2,9,06:38 AM,03:36 PM,08:15 AM,06:06 PM,-1,-2,1,-2,22,26,85,0.0,1014,6,10,209,11
2009-01-24,3,-7,0.0,9.9,2,2,2,07:20 AM,04:35 PM,08:14 AM,06:08 PM,-5,-6,-1,-6,30,47,74,0.0,1018,3,9,311,19
2009-01-25,-2,-9,0.0,9.9,2,2,0,07:55 AM,05:37 PM,08:13 AM,06:09 PM,-14,-9,-5,-9,12,33,51,0.0,1027,-2,10,256,9
2009-01-26,-2,-8,0.0,10.0,2,2,0,08:25 AM,06:40 PM,08:13 AM,06:10 PM,-12,-9,-5,-9,12,41,61,0.0,1030,-2,10,298,8
